"observed_on","user_login","quality_grade","num_identification_agreements","num_identification_disagreements","captive_cultivated","place_guess","latitude","longitude","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id"
"36","2015-05-13","milliemo","research",4,0,"false","",35.50085961,-97.52705462,"Canada Goose","Branta canadensis","Canada Goose","Aves",7089
"37","2015-08-29","aerinwolf","research",3,0,"false","Oklahoma, US",35.4292518,-97.2868009,"Meleagris gallopavo","Meleagris gallopavo","Wild Turkey","Aves",906
"38","2014-04-30","ospreyeagle","research",3,0,"false","Luther, OK",35.681363,-97.161088,"Yellow-crowned Night Heron","Nyctanassa violacea","Yellow-crowned Night Heron","Aves",4999
"39","2015-01-18","ospreyeagle","research",2,0,"false","University of Central Oklahoma",35.657591,-97.471946,"Red-shouldered Hawk","Buteo lineatus","Red-shouldered Hawk","Aves",5206
"40","2015-10-01","ospreyeagle","research",1,0,"false","2281 2303 W 15th St, Edmond, OK, US",35.638512,-97.513292,"European Starling","Sturnus vulgaris","European Starling","Aves",14850
"41","2015-05-05","jameswbeck","research",2,0,"false","Oklahoma city",35.46756,-97.516428,"Western Kingbird","Tyrannus verticalis","Western Kingbird","Aves",16791
"42","2015-11-12","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.576288,-97.578893,"Hooded Merganser","Lophodytes cucullatus","Hooded Merganser","Aves",7109
"43","2015-11-12","allenratzlaff","research",3,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.558345,-97.602539,"Great Blue Heron","Ardea herodias","Great Blue Heron","Aves",4956
"44","2015-11-12","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.558345,-97.602539,"American Coot","Fulica americana","American Coot","Aves",473
"45","2015-11-12","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.558345,-97.602539,"Pied-billed Grebe","Podilymbus podiceps","Pied-billed Grebe","Aves",4246
"46","2015-11-12","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.558345,-97.602539,"Killdeer","Charadrius vociferus","Killdeer","Aves",4793
"47","2015-11-12","allenratzlaff","research",4,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.557787,-97.603226,"American White Pelican","Pelecanus erythrorhynchos","American White Pelican","Aves",4334
"48","2015-11-12","allenratzlaff","research",3,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.557787,-97.603226,"Greater Yellowlegs","Tringa melanoleuca","Greater Yellowlegs","Aves",3892
"49","2015-11-12","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.560824,-97.610135,"Franklin's Gull","Leucophaeus pipixcan","Franklin's Gull","Aves",144515
"50","2015-11-12","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.556355,-97.607603,"Great Blue Heron","Ardea herodias","Great Blue Heron","Aves",4956
"51","2015-11-12","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.556355,-97.607603,"Great Egret","Ardea alba","Great Egret","Aves",144455
"52","2015-11-12","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.556198,-97.61139,"American Coot","Fulica americana","American Coot","Aves",473
"53","2015-11-12","allenratzlaff","research",3,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.548744,-97.594428,"Redhead","Aythya americana","Redhead","Aves",7056
"54","2015-11-12","allenratzlaff","research",3,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.548744,-97.594428,"Mallard","Anas platyrhynchos","Mallard","Aves",6930
"55","2015-11-12","allenratzlaff","research",1,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.545636,-97.589493,"Double-crested Cormorant","Nannopterum auritum","Double-crested Cormorant","Aves",1454382
"56","2015-11-12","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.5522,-97.580481,"Ring-billed Gull","Larus delawarensis","Ring-billed Gull","Aves",4364
"57","2015-11-12","allenratzlaff","research",3,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.556879,-97.608333,"Gadwall","Mareca strepera","Gadwall","Aves",558439
"58","2015-11-13","allenratzlaff","research",4,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.575398,-97.580121,"Great-tailed Grackle","Quiscalus mexicanus","Great-tailed Grackle","Aves",9607
"59","2015-11-13","allenratzlaff","research",2,0,"false","Martin Park, Oklahoma City, Oklahoma",35.606907,-97.608128,"Red-bellied Woodpecker","Melanerpes carolinus","Red-bellied Woodpecker","Aves",18205
"60","2015-11-13","allenratzlaff","research",2,0,"false","Martin Park, Oklahoma City, Oklahoma",35.606907,-97.608128,"Carolina Wren","Thryothorus ludovicianus","Carolina Wren","Aves",7513
"61","2015-11-13","allenratzlaff","research",3,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.571157,-97.58003,"Ring-billed Gull","Larus delawarensis","Ring-billed Gull","Aves",4364
"62","2015-11-13","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.571157,-97.58003,"Least Sandpiper","Calidris minutilla","Least Sandpiper","Aves",3864
"63","2015-11-14","allenratzlaff","research",3,0,"false","Oklahoma City, Oklahoma",35.593215,-97.605479,"Eurasian Collared-Dove","Streptopelia decaocto","Eurasian Collared-Dove","Aves",2969
"64","2015-11-15","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.551572,-97.585105,"Eared Grebe","Podiceps nigricollis","Eared Grebe","Aves",4205
"65","2015-11-15","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.55117,-97.585019,"American White Pelican","Pelecanus erythrorhynchos","American White Pelican","Aves",4334
"66","2015-11-15","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.55117,-97.585019,"Ring-billed Gull","Larus delawarensis","Ring-billed Gull","Aves",4364
"67","2015-11-15","allenratzlaff","research",4,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.547033,-97.601305,"Northern Flicker","Colaptes auratus","Northern Flicker","Aves",18236
"68","2015-11-15","allenratzlaff","research",3,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.557629,-97.607635,"American Avocet","Recurvirostra americana","American Avocet","Aves",4885
"69","2015-11-15","allenratzlaff","research",4,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.571524,-97.615618,"Northern Shoveler","Spatula clypeata","Northern Shoveler","Aves",558438
"70","2015-11-15","allenratzlaff","research",3,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.571524,-97.615618,"Redhead","Aythya americana","Redhead","Aves",7056
"71","2015-11-15","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.571105,-97.577257,"Ring-billed Gull","Larus delawarensis","Ring-billed Gull","Aves",4364
"72","2015-11-15","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.578871,-97.581645,"Double-crested Cormorant","Nannopterum auritum","Double-crested Cormorant","Aves",1454382
